short_name,long_name,age,potential,
M. Camporese,Michele Camporese,24,72,
J. Gleeson,Jake Gleeson,26,72,
T. Smith,Tommy Smith,24,72,
J. Mattheij,Jurgen  Mattheij,23,72,
S. Schwab,Stefan Schwab,25,72,
M. van Duinen,Mike van Duinen,24,72,
C. Çavlan,Caner Çavlan,24,72,
K. Rowe,Kelyn Rowe,24,72,
R. Abdullah,Rafidine Abdullah,22,72,
T. Tawatha,Taleb Tawatha,24,72,
D. Furman,Dominik Furman,23,72,
A. Al Enezi,Abdullah Moutlaq Al Enazi,25,72,
S. Hedlund,Simon Hedlund,23,72,
Y. Al Nakhli,Yasyn Hamza Al Nakhli,25,72,
T. Meißner,Thomas Meißner,25,72,
Edgar Ié,Edgar Miguel Ié,22,72,
Y. Ono,小野 裕二,23,72,
Gonçalo Silva,Gonçalo Filipe Oliveira Silva,25,72,
J. Osorio,Jonathan Osorio,24,72,
L. Murillo,Luis Carlos Murillo,25,72,
M. Rangel,Michael Jhon Ander Rangel Valencia,25,72,
J. Ramírez,Juan Edgardo Ramírez,23,72,
M. Herrera,Luis Marcelo Herrera,24,72,
J. Czerwiński,Jakub Czerwiński,24,72,
Juanma,Juan Manuel Delgado Lloria,25,72,
L. Bijker,Lucas Bijker,23,72,
Marco Sangalli,Marco Sangalli Fuentes,24,72,
M. Barragán,Martín Barragán Negrete,24,72,
Asdrúbal,Félix Asdrúbal Padrón Hernández,25,72,
T. Akindele,Tesho Akindele,24,72,
A. Demircan,Abdulaziz Demircan,25,72,
Eguaras,Iñigo Eguaras Álvarez,24,72,
E. Burgos,Esteban Rodrigo Burgos,24,72,
R. Arboleda,Robert Arboleda,24,72,
H. Faik,Hicham Faik,23,72,
T. Yonemoto,米本 拓司,25,72,
K. Buchanan,Keagan Wilbur Buchanan,25,72,
D. Graovac,Daniel Graovac,22,72,
M. Albertazzi,Michelangelo Albertazzi,25,71,
D. Abakumov,Dmitriy Abakumov,26,71,
S. Joseph-Monrose,Steeven Joseph-Monrose,25,71,
B. Sverrisson,Björn Daníel Sverrisson,26,71,
D. Hoesen,Danny Hoesen,25,71,
M. Hornschuh,Marc Hornschuh,25,71,
D. Mayor,Danny Mayor,25,71,
T. Deric,Tyler Deric,27,71,
S. Clucas,Sam Clucas,25,71,
A. Chochiev,Alan Chochiev,24,71,
S. Winnall,Sam Winnall,25,71,
R. Hassan,Rilwan Hassan,25,71,
K. Drygas,Kamil Drygas,24,71,
M. te Vrede,Mitchell te Vrede,24,71,
N. Marsman,Nick Marsman,25,71,
C. Hemlein,Christoph Hemlein,25,71,
B. Kadrii,Bashkim Kadrii,24,71,
C. Alhadhur,Chaker  Alhadhur,24,71,
L. Baloyi,Lucky Baloyi,25,71,
Tekio,Sergio Blázquez Sánchez,25,71,
M. Tičinović,Mario Tičinović,24,71,
Patrick,Patrick De Oliveira Vieira,25,71,
B. Godeau,Bruno Godeau,24,71,
A. Struna,Aljaz Struna,25,71,
J. Navrátil,Jaroslav Navrátil,24,71,
N. Zárate,Nahuel Zárate,23,71,
R. Schüller,Rasmus Schüller,25,71,
A. Alegre,Alan Alegre,25,71,
M. Fissore,Matías Fissore,25,71,
A. Miljković,Aleksandar Miljković,26,71,
O. Davidzada,Ofir Davidzada,25,71,
S. Fortès,Steven Fortès,24,71,
M. Milec,Martin Milec,24,71,
H. Shipp,Harry Shipp,24,71,
Raúl,Raúl Michel Melo da Silva,26,71,
F. Kom,Franck Kom,24,71,
B. Jović,Boban Jović,25,71,
N. Korovesis,Nikos Korovesis,24,71,
Kaio Figueiras,Kaio Fabiano Figueiras Guerra,24,71,
F. Silva,Facundo Ezequiel Silva,25,71,
S. Breitkreuz,Steve Breitkreuz,24,71,
G. Modica,Giuliano Modica,25,71,
Salvi,Salvador Sánchez Ponce,25,71,
Marlon Dorrão,Marlon Wilson Dorrão Barni,24,71,
N. Viola,Benito Nicolas Viola,26,70,
B. Amos,Ben  Amos,26,70,
K. Agard,Kieran Agard,26,70,
J. Nation,Jonatan Tollås Nation,26,70,
A. Jacobsen,Anders K. Jacobsen,26,70,
J. Vlasko,Ján Vlasko,26,70,
F. Daprelà,Fabio Daprelà,25,70,
Y. Tafer,Yannis Tafer,25,70,
R. van La Parra,Rajiv van La Parra,25,70,
L. DeVere,Luke DeVere,26,70,
F. Bulot,Frédéric Bulot,25,70,
N. Toko,Toko Nzuzi Bundebele,25,70,
Toño Ramirez,Antonio Miguel Ramírez Martínez,29,70,
S. Salger,Stephan Salger,26,70,
J. Larsen,Jens Stryger Larsen,25,70,
O. Bayram,Ömer Bayram,24,70,
C. Schösswendter,Christoph Schösswendter,27,70,
M. Nešpor,Martin Nešpor,26,70,
P. Skuletic,Petar Škuletić,26,70,
D. Ward,Danny Ward,25,70,
François,Adama François Sene,26,70,
A. Ludwig,Andreas Ludwig,25,70,
Rodri,Rodrigo Ríos Lozano,26,70,
L. Paulussen,Laurens Paulussen,25,70,
Fernández,José Manuel Fernández Reyes,26,70,
J. Bendik,Joe Bendik,27,70,
M. Zachara,Mateusz Zachara,26,70,
J. Williams,Josh Williams,28,70,
K. Ellis,Kevin Ellis,25,70,
O. Cissé,Ousseynou Cissé,25,70,
D. McGowan,Dylan McGowan,24,70,
Y. Yotún,Víctor Yoshimar Yotún Flores,26,70,
M. Pellizzer,Michele Pellizzer,27,70,
Diego Oliveira,Diego Queiroz de Oliveira,26,70,
N. Şahin,Nihat Şahin,26,70,
N. Bellomo,Nicola Bellomo,25,70,
T. Rantie,Tokelo Rantie,25,70,
L. Sadiku,Loret Sadiku,24,70,
Anderson Conceição,Anderson Conceição Benedito,26,70,
B. Al Nakly,Bader Al Nakhli,28,70,
B. Meccariello,Biagio Meccariello,25,70,
M. Pérez Guedes,Martín Pérez Guedes,24,70,
R. Sigurjónsson,Rúnar Már Sigurjónsson,26,70,
D. Vallejos,Diego Vallejos,26,70,
O. Berrio,Orlando Enrique Berrío Meléndez,25,70,
J. Roa,Juan Daniel Roa Reyes,24,70,
R. Caroca,Rafael Antonio Caroca Cordero,26,70,
Y. Mejía,Yulían Mejía,25,70,
F. Elizari,Fernando Elizari,25,70,
M. Masłowski,Michał Masłowski,26,70,
J. Aguirre,Leonel Jonás Aguirre Avalo,24,70,
I. Doğan,İshak Doğan,25,70,
M. Benítez,Marcelo Benítez,25,70,
D. Martínez,Damián Alberto Martínez,26,70,
Xavier,António Manuel Pereira Xavier,23,70,
L. Saldaña,Leonardo Enrique Saldaña Carvajal,26,70,
Didi,José Ignacio Vinicius,25,70,
Jean Cleber,Jean Cleber Santos da Silva,26,70,
Heitor Mutto,Heitor Edvaldo Mutto Heck,24,70,
F. Boeckx,Frank Boeckx,29,69,
E. Upson,Edward Upson,26,69,
S. Baldock,Sam Baldock,27,69,
G. Torres,Gabriel Arturo Torres Tejada,27,69,
P. Flo,Per Egil Flo,27,69,
A. Marin,Anthony Marin,26,69,
A. Cauņa,Aleksandrs Cauņa,28,69,
A. Ríos,Andrés Ríos,26,69,
E. Knudtzon,Erling Knudtzon,27,69,
R. O'Donnell,Richard O'Donnell,27,69,
Li Xuepeng,李学鹏,27,69,
J. Simpson,Jay Simpson,27,69,
J. Fontaine,Jean-Pascal Fontaine,27,69,
E. Ngolok,Evariste Ngolok,27,69,
T. Hateley,Tom Hateley,26,69,
D. Daube,Dennis Daube,26,69,
M. Eramo,Mirko Eramo,26,69,
A. Tetteh,Abdul Aziz Tetteh,27,69,
O. Coulibaly,Ousmane Coulibaly,26,69,
G. Carey,Graham Carey,27,69,
D. Schahin,Dani Schahin,26,69,
M. Djuric,Milan Djuric,26,69,
P. Schönfeld,Patrick Schönfeld,27,69,
D. Vujičević,Dario Vujičević,26,69,
B. McKay,Billy McKay,27,69,
N. Backman,Niklas Backman,27,69,
Escassi,Alberto Escassi Oliva,27,69,
F. Signori,Francesco Signori,27,69,
A. Mazzotta,Antonio Mazzotta,26,69,
Dani Toribio,Daniel Toribio Gutiérrez,27,69,
Mateos,David Mateos Ramajo,29,69,
J. Amione,Jerónimo Arturo Amione Cevallos,26,69,
Y. Court,Yoann Court,26,69,
D. Cvetinović,Dušan Cvetinović,27,69,
J. Tshibumbu,John Tshibumbu,27,69,
M. Makuszewski,Maciej Makuszewski,26,69,
José Ángel,José Ángel Alonso Martín,27,69,
T. Bendiksen,Thomas Kind Bendiksen,26,69,
Park Gi Dong,박기동 朴基栋,27,69,
S. Giacomelli,Stefano Giacomelli,26,69,
A. Dudiev,Aslan Dudiev,26,69,
Yu Sang Hun,유상훈 柳相勋,27,69,
A. Akaichi,Ahmed Akaïchi,27,69,
M. Baudry,Marvin Baudry,26,69,
Shim Dong Woon,심원운 沈东云,26,69,
H. Pertuz,Hernán Enrique Pertúz Ortega,27,69,
M. Herrera,Miguel Herrera,27,69,
D. Malone,Dion Malone,27,69,
V. Khozin,Vladimir Khozin,26,69,
L. Domínguez,Lucas Domínguez Irarrázabal,26,69,
M. Osuna,Mario Osuna,27,69,
O. Vásquez,Omar Vásquez,26,69,
K. Harbottle,Kevin Harbottle,26,69,
F. Alarcón,Francisco Alarcón,26,69,
D. Delarge,Dzon Delarge,26,69,
J. Zacaría,Jonathan Fabián Zacaría,26,69,
Dudú,Luiz Eduardo dos Santos Gonzaga,26,69,
G. Stewart,Greg Stewart,26,69,
R. Mühren,Robert Mühren,27,69,
G. Enache,Gabriel Enache,25,69,
Washington,Washington Santana da Silva,27,69,
F. Canever,Franco Canever,26,69,
M. Taylor,Matty Taylor,26,69,
Hélder Tavares,Hélder Luís Lopes Vieira Tavares,26,69,
R. Ochiroşii,Răzvan Iulian Ochiroşii,26,69,
R. Brežančić,Rajko Brežančić,26,69,
Josete,José Antonio Malagón Rubio,28,69,
K. Higashi,东庆 悟,25,69,
G. Bravo,Gonzalo Martín Bravo,26,69,
J. Angulo,Julio Eduardo Angulo Medina,26,69,
S. Wright-Phillips,Shaun Wright-Phillips,34,68,
F. Coppola,Ferdinando Coppola,38,68,
P. Mtiliga,Patrick Jan Mtiliga,35,68,
A. Głowacki,Arkadiusz Głowacki,37,68,
P. Nilsson,Per Nilsson,33,68,
R. Castelen,Romeo Castelen,33,68,
C. Tiffert,Christian Tiffert,34,68,
K. Begois,Kevin Begois,34,68,
M. Nordstrand,Morten Nordstrand,33,68,
S. Taylor,Stuart Taylor,35,68,
M. Morisbak Skjønsberg,Morten  Morisbak Skjønsberg,33,68,
P. Konchesky,Paul  Konchesky,35,68,
T. Bechmann,Tommy Bechmann,34,68,
E. Jakupović,Eldin Jakupović,31,68,
S. Kulovits,Stefan Kulovits,33,68,
M. Hudson,Mark Hudson,34,68,
S. Warnock,Stephen  Warnock,34,68,
G. Šukalo,Goran Šukalo,34,68,
D. Braaten,Daniel  Omoya Braaten,34,68,
C. Merville,Cyrille Merville,34,68,
Edu Albacar,José Eduardo Albácar Gallego,36,68,
Cifuentes,Alberto Cifuentes Martínez,37,68,
L. McCormick,Luke McCormick,32,68,
Armando,Armando Lozano Sánchez,31,68,
C. Heimeroth,Christofer Heimeroth,34,68,
D. Martin,David Edward Martin,30,68,
S. Roudet,Sébastien Roudet,35,68,
O. Şam,Orhan Şam,30,68,
U. Ceylan,Ufuk Ceylan,30,68,
Lee Jong Min,이종민 李钟民,32,68,
Hyun Young Min,현영민 玄泳民,36,68,
Cho Byung Kuk,조병국 卓炳局,35,68,
C. Raimondi,Cristian Raimondi,35,68,
A. Budel,Alessandro Budel,35,68,
R. Clark,Ricardo  Clark,33,68,
M. Magee,Mike Magee,31,68,
A. Russo,Adriano Russo,29,68,
C. Baird,Chris Baird,34,68,
M. Lequi,Matías Emanuel Lequi,35,68,
C. O'Grady,Chris O'Grady,30,68,
K. Risgård,Kasper Risgård,33,68,
D. Gerken,Dean Gerken,31,68,
J. Hooiveld,Jos Hooiveld,33,68,
M. Fledderus,Mark-Jan Fledderus,33,68,
Wilson,Wilson Rodrigues Fonseca,31,68,
A. De Nigris,Jesús Aldo De Nigris Guajardo,32,68,
H. Sogahata,曾端 准,36,68,
D. Toledo,José David Toledo Bosquez,34,68,
A. Baptiste,Alex  Baptiste,30,68,
J. Thomsen,Johnny Juul Thomsen,34,68,
M. Mirošević,Milovan Petar Mirosevic Albornoz,36,68,
S. Romero,Sebastián Ariel Romero,38,68,
P. Ferrari,Paulo Andrés Ferrari,34,68,
A. Pelletieri,Agustín Daniel Pelletieri,34,68,
L. Vella,Luciano Germán Vella,35,68,
C. Arat,Can Arat,32,68,
K. Zengin,Kerim Zengin,31,68,
F. Öztorun,Ferhat Öztorun,29,68,
Y. Kurtuluş,Yekta Kurtuluş,30,68,
D. Zibung,David Zibung,32,68,
A. Bunjaku,Albert Bunjaku,32,68,
Guzmán,Guzmán Casaseca Lozano,31,68,
Mantecón,Sergio Martínez Mantecón,36,68,
Carlos Caballero,Carlos Caballero Pérez,31,68,
Raúl Cámara,Raúl Miguel Cámara,32,68,
Iago Bouzón,Iago Bouzón Amoedo,33,68,
P. Alikin,Pavel Alikin,32,68,
T. Høgli,Tom Høgli,32,68,
A. Al-Habsi,Ali Abdullah Harib Al Habsi,34,68,
A. Cordaz,Alex Cordaz,33,68,
C. Valeri,Carl Valeri,31,68,
L. Poggi,Louis Poggi,32,68,
R. Zubar,Ronald Zubar,30,68,
D. Kumbela,Dominick Kumbela,32,68,
S. Ricketts,Sam Ricketts,34,68,
M. Stanković,Marko Stanković,30,68,
D. Fredheim Holm,Daniel Fredheim Holm,30,68,
Felipe Saad,Felipe  Patavino Saad,32,68,
G. Wojtkowiak,Grzegorz Wojtkowiak,32,68,
S. Pouplin,Simon Pouplin,31,68,
D. Tumasyan,Denis Tumasyan,31,68,
D. Olsen,Danny Olsen,31,68,
L. Clarke,Leon Clarke,31,68,
K. Petersen,Kenneth Emil Petersen,31,68,
Casto,Casto Espinosa Barriga,34,68,
S. McDonald,Scott  McDonald,32,68,
M. Cranie,Martin Cranie,29,68,
L. Best,Leon  Best,29,68,
J. Thomas,Jerome  Thomas,33,68,
J. Lewis,Joe Lewis,28,68,
J. Rzeźniczak,Jakub Rzeźniczak,29,68,
J. Valenzuela,Juan Carlos Valenzuela Hernández,32,68,
O. Werner,Olivier Werner,31,68,
N. Cardozo,Neri Raúl Cardozo,29,68,
J. Estrada,Jorge Iván Estrada Manjarrez,32,68,
L. Ceccarelli,Luca Ceccarelli,33,68,
N. Pulzetti,Nico Pulzetti,32,68,
P. Ledesma,Pablo Martín Ledesma,32,68,
D. Mannini,Daniele Mannini,32,68,
M. Sonnleitner,Mario Sonnleitner,29,68,
M. Parensen,Michael Parensen,30,68,
E. Zverotić,Elsad Zverotić,29,68,
X. Chen,Xavier Tsan Yuan Chen,32,68,
A. Castro,Alexis Nicolás Castro,32,68,
G. Munari,Gianni Munari,33,68,
S. Kornilenko,Sergey Kornilenko,33,68,
L. Robles,Luis Enrique Robles Ramírez,29,68,
M. Kelemen,Marián Kelemen,36,68,
E. Ward,Elliott Ward,31,68,
J. Núñez,Juan Carlos Núñez Orozco,33,68,
B. Ilić,Branko Ilić,33,68,
U. Uçar,Uğur Uçar,29,68,
A. Davies,Andrew  Davies,31,68,
A. Taylor,Andrew Taylor,29,68,
C. Dagnall,Chris Dagnall,30,68,
S. Anderson,Steven Anderson,30,68,
C. Rolfe,Chris Rolfe,33,68,
M. Parkhurst,Michael Parkhurst,32,68,
M. Dimitrijević,Miloš Dimitrijević,32,68,
S. Madera,Sebastian Madera,31,68,
N. Navarro,Nicolás Gastón Navarro,31,68,
F. Niell,Franco Niell,33,68,
G. Prósperi,Gonzalo Sebastián Prósperi,31,68,
M. Fellah,Mohammed Fellah,27,68,
L. Janoszka,Łukasz Janoszka,29,68,
J. Henao,Juan Carlos Henao Valencia,44,68,
Oh Jang Eun,오장은 吴章银,30,68,
Park Chu Young,박주영 朴周永,30,68,
Choi Hyo Jin,최효진 崔孝镇,32,68,
R. Vorobiev,Roman Vorobiev,32,68,
F. Nordkvelle,Fredrik Nordkvelle,30,68,
P. Araujo,Patricio Gabriel Araújo Vázquez,28,68,
E. Andrade,Edgar Bismarck Estuardo Andrade Rentería,28,68,
A. Gorbanets,Andrey Gorbanets,30,68,
G. Karanović,Goran Karanović,28,68,
I. Bangoura,Ismaël Bangoura,31,68,
L. Martin,Lee Martin,29,68,
N. Pečnik,Nejc Pečnik,30,68,
J. O'Hara,Jamie O'Hara,29,68,
A. Mosquera,Aquivaldo Mosquera Romaña,35,68,
M. Koffi,Mohamed Koffi,29,68,
M. Little,Mark Little,27,68,
R. Maah,Emanuel Robert Maah,31,68,
F. Piovaccari,Federico Piovaccari,31,68,
J. MacDonald,Jamie MacDonald,30,68,
S. Davies,Steven Davies,28,68,
Nagore,Alberto Gómez Fernández,35,68,
D. Forde,David Forde,36,68,
Alfaro,Alejandro Alfaro Ligero,29,68,
T. Enevoldsen,Thomas Enevoldsen,28,68,
Romeu,Marcos Romeu Moreira da Rocha,30,68,
L. Craig,Liam Craig,29,68,
K. Lejeune,Kévin Lejeune,31,68,
T. Mikkelsen,Tobias Pilegaard Mikkelsen,29,68,
J. Moulin,Jessy Moulin,30,68,
D. Edgar,David Edgar,29,68,
José Semedo,José Vítor Moreira Semedo,31,68,
E. Huseklepp,Erik André Huseklepp,31,68,
C. Lines,Chris Lines,30,68,
A. Lienhart,Andreas Lienhart,30,68,
D. Mrđja,Dragan Mrđja,32,68,
P. McGowan,Paul McGowan,28,68,
M. Reynolds,Mark Reynolds,29,68,
M. Bostwick,Michael Bostwick,28,68,
Olmo,Jesús Olmo Lozano,31,68,
G. Gómez,Gabriel Enrique Gómez Girón,32,68,
D. Goodwillie,David Goodwillie,27,68,
J. Bornstein,Jonathan Rey Bornstein,31,68,
C. Wilk,Cezary Stefan Wilk,30,68,
M. Wynne,Marvell Wynne,30,68,
J. Mousinho,John Mousinho,30,68,
Kim Chang Soo,김창수 金昌洙,30,68,
Lee Keun Ho,이근호 李根镐,31,68,
L. Chará,Luis Felipe Chará Zamora,35,68,
S. Sutter,Scott Sutter,30,68,
F. González,Federico Rafael González,29,68,
S. Meza,Severo Efraín Meza Mayorga,29,68,
R. Strauß,Robert Strauß,29,68,
A. Gabbarini,Adrián José Gabbarini,30,68,
G. Roberts,Gary Roberts,32,68,
J. Zavala,Jesús Eduardo Zavala Castañeda,28,68,
F. Gamboa,Francisco Gamboa Gómez,30,68,
M. Zappino,Massimo Zenildo Zappino,35,68,
C. Louvion,Cyriaque Louvion,28,68,
K. Bülow,Kai Bülow,30,68,
W. Paredes,William Alberto Paredes Barbudo,30,68,
L. Broź,Łukasz Broź,30,68,
D. Paponi,Daniele Paponi,28,68,
A. Karabulut,Aydın Karabulut,28,68,
E. Jendrišek,Erik Jendrišek,29,68,
Kaká,Claudiano Bezerra da Silva,35,68,
M. Uslu,Mehmet Uslu,28,68,
A. Pelagotti,Alberto Pelagotti,27,68,
L. Vitale,Luigi Vitale,28,68,
A. Cocco,Andrea Cocco,30,68,
A. Piccolo,Antonio Piccolo,28,68,
D. Holla,Danny Holla,28,68,
B. Urribarri,Bruno Saúl Urribarri,29,68,
S. Jamieson,Scott Jamieson,27,68,
J. Juelsgård,Jesper Juelsgård Kristensen,27,68,
T. Rowe,Tommy Rowe,27,68,
C. Seitz,Chris Seitz,29,68,
O. Mares,Osmar Mares Martínez,29,68,
D. Perkins,David Perkins,34,68,
M. Morganella,Michel Morganella,27,68,
Isidoro,José Isidoro Gómez Torres,29,68,
H. Taniguchi,谷口 博之,31,68,
Túlio,田中 マルクス 闘莉王,35,68,
D. Pudil,Daniel Pudil,30,68,
S. Williams,Shaun Williams,29,68,
M. Samardžič,Miral Samardžič,29,68,
L. Noriega,Luis Miguel Noriega,31,68,
B. Abdoulaye,Bruce Abdoulaye,34,68,
R. Grzyb,Rafał Grzyb,33,68,
T. Ayasse,Thomas Ayasse,29,68,
M. Zullo,Michael Zullo,27,68,
A. Fischer,Alexander Fischer,29,68,
Héctor Verdés,Héctor Verdés Ortega,32,68,
A. van Peppen,Ard van Peppen,31,68,
L. Giorgi,Luigi Giorgi,29,68,
G. Troianiello,Gennaro Troianiello,33,68,
N. Daghfous,Nejmeddin Daghfous,29,68,
Wellington,Wellington Luís de Sousa,28,68,
J. Goossens,John Goossens,27,68,
T. Høiland,Tommy Høiland,27,68,
D. Hubert,David Hubert,28,68,
I. Ouali,Idir Ouali,28,68,
Charles,Charles Fernando Basilio da Silva,31,68,
Dani Abalo,Daniel Abalo Paulos,28,68,
J. Blengio,Juan Carlos Blengio,36,68,
M. Carayol,Mustapha Carayol,27,68,
T. Breukers,Tim Breukers,28,68,
René,René Román Hinojo,32,68,
P. Polczak,Piotr Paweł Polczak,29,68,
D. Horst,David Horst,30,68,
R. Wolf,Raphael Wolf,28,68,
E. Meza,Enrique Gabriel Meza Brítez,30,68,
A. Dauda,Abiola Adedeji Dauda,28,68,
R. Ruíz,Richard Ruíz Toledo,30,68,
A. Zaseev,Azamat Zaseev,28,68,
Sandro Manoel,Sandro Manoel dos Santos,27,68,
M. Iori,Manuel Iori,34,68,
J. Nirlo,Jimmy Nirlo,27,68,
K. Conboy,Kevin Conboy,28,68,
M. Wilusz,Maciej Wilusz,27,68,
R. Ghoochannejhad,Reza Ghoochannejhad Nournia,28,68,
M. Cissokho,Mame Ousmane Cissokho,29,68,
W. Thomas,Wes Thomas,29,68,
Palanca,Miguel Palanca Fernández,28,68,
N. Paparatto,Norberto Javier Paparatto,32,68,
Q. Amarikwa,Quincy Obina Amarikwa,28,68,
S. Heidinger,Sebastian Heidinger,30,68,
A. Al Zori,Abdullah Mohammed Al Zoari Al Dossary,28,68,
A. Al Fraidi,Ahmed Mohammed Al Fraidi,28,68,
T. Shimohira,下平 匠,27,68,
Han Sang Wun,한상운 韩相云,30,68,
J. Sony Alcenat,Jean Sony Alcenat,30,68,
M. Davidson,Murray Davidson,28,68,
Héctor Yuste,Héctor Yuste Cantón,28,68,
Steven Vitória,Steven de Sousa Vitória,29,68,
C. Tănase,Cristian Tănase,29,68,
A. Papazoglou,Athanasios Papazoglou,28,68,
N. Madsen,Nicolaj Madsen,27,68,
D. Cháves,Diego Cháves,30,68,
B. Shuttleworth,Bobby Shuttleworth,29,68,
D. Gavazzi,Davide Gavazzi,30,68,
M. Calderoni,Marco Calderoni,27,68,
B. Pringle,Ben Pringle,27,68,
M. Grün,Max Grün,29,68,
Pedro Orfila,Pedro Orfila Artime,28,68,
N. Mabena,Ndumiso Mabena,29,68,
A. Quintero,Alberto Abdiel Quintero Medina,28,68,
K. Ağayev,Kamran Ağayev,30,68,
R. Cereceda,Roberto Cereceda,31,68,
Y. Anchico,Yulián Anchico,32,68,
M. Bejarano,Marvin Bejarano,28,68,
A. El-Said,Abdalla Mahmoud El Said Bekhit,30,68,
I. Franjic,Ivan Franjić,28,68,
J. Toledo,Javier Fabián Toledo,30,68,
A. Lisuzzo,Andrea Lisuzzo,35,68,
Jandson,Jandson dos Santos,29,68,
B. Gorka,Benjamin Gorka,32,68,
D. Zanon,Damiano Zanon,32,68,
T. Şahin,Turgut Doğan Şahin,28,68,
I. Vrdoljak,Ivica Vrdoljak,32,68,
B. Yılmaz,Bekir Yılmaz,28,68,
Z. Diallo,Zakaria Diallo,29,68,
F. Coria,Facundo Gabriel Coria,29,68,
T. Melia,Tim Melia,30,68,
D. Nwakaeme,Dickson Nwakaeme,30,68,
M. Agesen,Mads Agesen,33,68,
J. Anibaba,Jalil Anibaba,27,68,
Alvaro Rey,Álvaro Rey Vázquez,26,68,
Manuel,Manuel Sánchez López,28,68,
S. Kislyak,Sergey Kislyak,28,68,
Urko Vera,Urko Vera Mateos,29,68,
Sin Jin Ho,신진호 申振豪,27,68,
Góngora,Juan Francisco Góngora Mateo,27,68,
Bruno Andrade,Bruno  Fernandes Andrade de Brito,27,68,
J. Valencia,Juan David Valencia Hinestroza,30,68,
A. Tonev,Aleksandar Tonev,26,68,
F. Taulemesse,Florian Taulemesse,30,68,
David Ferreiro,David Ferreiro Quiroga,28,68,
M. Putnocký,Matúš Putnocký,31,68,
E. Bush,Evan Bush,30,68,
J. Sánchez Sotelo,Juan Sánchez Sotelo,28,68,
W. Creavalle,Warren Creavalle,25,68,
E. Molina,Jorge Emanuel Molina,29,68,
P. Mráz,Patrik Mráz,29,68,
Kim In Seong,김인성 金仁成,26,68,
A. Hofmann,Andreas Hofmann,30,68,
J. Gastien,Johan Gastien,28,68,
K. Sharahili,Khalid Mohammed Sharahili,28,68,
R. Philp,Ronny Philp,27,68,
R. Achenteh,Rochdi Achenteh,28,68,
T. Akahoshi,赤星 貴文,30,68,
H. Al Hamdan,Hamdan Al Hamdan,31,68,
K. Boutaïb,Khalid Boutaïb,29,68,
A. Aleksandrov,Aleksandar Dragomirov Aleksandrov,30,68,
T. Schütz,Tom Schütz,28,68,
M. Jones,Matthew Jones,30,68,
B. Sangaré,Badra Ali Sangaré,30,68,
C. Pérez,Claudio Pérez,30,68,
Tiago Caeiro,Tiago David Janeiro Caeiro,32,68,
D. Silva,Diego Alejandro Silva Fuentes,33,68,
D. Peralta,Diego Arturo Peralta González,31,68,
Y. Hinestroza,Yonni Fernando Hinestroza Lozano,31,68,
F. Noguera,Félix Enrique Noguera Collante,29,68,
N. Barahona,Nelson Alberto Barahona Collins,28,68,
J. Pajoy,John Fredy Pajoy Ortíz,27,68,
G. Villagra,Gonzalo Andrés Villagra Lira,34,68,
D. Sánchez,Diego Sánchez Carvajal,29,68,
C. Muñoz,Claudio Igor Muñoz Uribe,31,68,
F. Reynero,Felipe Andrés Reynero Galarce,27,68,
B. Rodríguez,Braian Damián Rodríguez Carballo,29,68,
J. Muñoz,José Luis Muñoz Muñoz,28,68,
S. Varas,Sebastián Esteban Varas Moreno,27,68,
H. Osorio,Humberto Osorio,28,68,
M. Ibáñez,Matías Ibáñez,29,68,
N. Ibáñez,Nelson Ibáñez,34,68,
A. Niz,Alexis Niz,28,68,
G. Farré,Guillermo Farré,35,68,
F. Telechea,Fernando Telechea,34,68,
J. Wójcicki,Jakub Wójcicki,27,68,
R. Festersen,Rasmus Festersen,29,68,
D. Díaz,Diego Díaz,30,68,
H. Berríos,Héctor Berríos,29,68,
M. Lepe,Michael Lepe,30,68,
J. Broun,Jorge Broun,30,68,
P. Muñoz,Pedro Muñoz,30,68,
A. Medina,Antonio Medina,31,68,
L. Vázquez,Claudio Luciano Vázquez,31,68,
J. Córdoba,Jaime Miguel Córdoba Taborda,28,68,
L. Sánchez,Leonardo Agustín Sánchez,29,68,
F. Oviedo,Fidencio Oviedo Domínguez,29,68,
J. Hergault,Jérôme Hergault,30,68,
M. Mbamba,Marc Kibong Mbamba,27,68,
C. Osmanpaşa,Caner Osmanpaşa,28,68,
Rubén Cruz,Rubén Cruz Gil,30,68,
N. Çürüksu,Numan Çürüksu,31,68,
F. Ciampichetti,Flavio Ciampichetti,28,68,
E. Şen,Erdem Şen,27,68,
Nelsinho,Nélson Barbosa Conceição,28,68,
J. Miño,Juan Pablo Miño,28,68,
M. Carrasco,Mauricio Nicolás Carrasco,28,68,
M. Čovilo,Miroslav Čovilo,30,68,
N. Omladič,Nik Omladič,26,68,
J. Varela,John Édinson Varela Prado,28,68,
P. Mina,Pablo Andrés Mina Ramírez,31,68,
L. Azcona,Librado Azcona,32,68,
Pica,João Miguel Passos Manuel Pica,30,68,
T. Ndoro,Tendai Ndoro,28,68,
M. Bašić,Marko Bašić,28,68,
Fredinho Mutto,Frederico Tomás Mutto Heck,24,68,
Anselmo Meirás,Anselmo Túlio Meirás Abrão,32,68,
Claytisco Branco,Daniel Clayton Branco Julião,32,68,
Welson Leima,Welson Emílio Leima Garcia,32,68,
Jadson Castrelo,Jadson José Castrelo Rios,32,68,
Adão Morrinhos,Adão Douglas Morrinhos Paes,24,68,
